Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
The Hideout (Daytime Historic Structure/Exterior),Indoor,historic building,Noble Square,7,booking@hideoutchicago.com,hideoutchicago.com,hideoutchicago,A literal balloon-frame 19th-century house surrounded in an industrial snowplow graveyard; fascinating during off-hours.,50
Elks National Memorial Building (Rotunda),Indoor,architectural landmark,Lincoln Park,5,,,elksmemorial,"Features one of the most stunning, overwhelmingly massive and ornate marble domes in the entire country.",150
James R. Thompson Center (Hollow Atrium),Indoor,architectural landmark,Loop,6,,,,"A postmodern, massive spaceship-like glass atrium offering insane interior lines and scale.",Varies
Aon Center (70th Floor Empty Space),Indoor,architectural landmark,Loop,4,events@aoncenter.info,,,"Completely empty, raw high-rise skyscraper floor offering panoramic, unobstructed 360-degree concrete and glass views.",Varies
Fine Arts Building (The Dial Bookshop),Indoor,store,Loop,7,info@dialbookshop.com,,dialbookshop,"Overlooking Michigan Ave, packed with floor-to-ceiling vintage books and bathed in dark woods and warm light.",30
Fine Arts Building (10th Floor Mural Corridors),Indoor,historic building,Loop,7,,,fineartsbuilding,"Ancient, incredibly well-preserved painted murals flank a very narrow, moody 19th-century hallway.",Varies
The Rookery Building (Oriel Staircase),Indoor,architectural landmark,Loop,6,events@therookerybuilding.com,https://therookerybuilding.com,therookerybuilding,"A terrifyingly beautiful, spiraling wrought-iron staircase that looks suspended completely in mid-air.",Varies
Garfield Park Conservatory (Desert House),Indoor,immersive exhibit,East Garfield Park,8,rentals@garfieldpark.org,,garfieldparkconservatory,"Stark sand and massive, looming, alien-like cacti and succulents under geometric glass.",100
Ling Shen Ching Tze Temple,Indoor,church,Bridgeport,6,,,,A majestic multi-level Buddhist temple housed confusingly inside an old Presbyterian church brick facade.,100
Roosevelt University Library (Auditorium Building Reading Room),Indoor,library,Loop,5,,,rooseveltulibrary,"Colossal arches, warm woods, and historic stenciling overlooking the lake in a heavily silent atmosphere.",100
190 South LaSalle (The Lobby Library),Indoor,library,Loop,5,,,,"Features dramatic, overpowering multi-story gold vaulted ceilings casting a dark, glowing ambiance.",Varies
311 South Wacker (Winter Garden),Indoor,immersive exhibit,Loop,6,,,,"Massive palm trees surround a glowing, surreal luminescent fountain inside a vast glass enclosure.",Varies
Lakeside Center at McCormick Place (East Building Empty Glass Halls),Indoor,architectural landmark,Near South Side,4,sales@mccormickplace.com,,mccormickplace,"Colossal, echoing empty convention halls heavily bordered by brutal black steel and an endless lake horizon.",Varies
Nichols Tower at Homan Square (Top Floor Event Space),Indoor,adaptive reuse,North Lawndale,8,info@fshn.org,,,The 14th-floor observatory of the original 1905 Sears Tower featuring arched windows and stark urban views.,50
South Shore Cultural Center (Paul Robeson Theater),Indoor,historic building,South Shore,5,,,,"An abandoned-feeling, highly ornate historic theater showing dramatic signs of layered, beautiful neglect.",150
The Forum,Indoor,historic building,Bronzeville,7,info@theforumbronzeville.com,,theforumbronzeville,"An 1889 assembly hall under slow restoration, revealing unbelievable layers of peeling wallpaper and history.",150
The Wabash YMCA (Bronzeville - historic gym/pool),Indoor,historic building,Bronzeville,6,,,,Historically significant Renaissance Revival structure featuring a long-empty old-world gymnasium.,100
The Anthony Overton Elementary School,Indoor,architectural landmark,Bronzeville,7,,,overtonuninc,"A highly striking abandoned modernist school heavily repurposed for chaotic, colorful art installations.",Varies
The Chicago Board Options Exchange (Trading Floor),Indoor,architectural landmark,Loop,3,,,,Absolutely chaotic and massive brutalist architecture filled with outdated tech when completely empty.,Varies
The Old Post Office (The Telegram Lounge),Indoor,adaptive reuse,Loop,8,events@post433.com,,post433,"A mid-century brutalist vibe featuring moody lighting, low leather couches, and geometric ceilings.",80
Water Tower Pumping Station (Interior pipes),Indoor,industrial,River North,5,,,,"A subterranean limestone structure containing intensely loud, multi-story active blue steel water pumps.",Varies
Harold Washington Library (The 9th Floor Gallery),Indoor,library,Loop,6,,,chipublib,"Highly angular, imposing geometric hallways entirely dominated by intense, severe red lighting and metal panels.",Varies
Newberry Library (The Retiring Room),Indoor,library,Near North Side,6,events@newberry.org,,newberrylibrary,"An anachronistic, highly stylized, dark Victorian parlor explicitly designed for absolute quiet.",20
