Location Name,Type,Space Category,Neighborhood,Feasibility Score,Contact Info,Booking Link,IG/Social Link,Why It's Interesting,Capacity Estimate
Peggy Notebaert Nature Museum (Judy Istock Butterfly Haven),Indoor,immersive exhibit,Lincoln Park,8,events@naturemuseum.org,naturemuseum.org,naturemuseum,"A stunning, humid, 2,700-square-foot glass greenhouse filled with over 1,000 fluttering butterflies and exotic flowers.",100
Auditorium Theatre (Ganz Hall at Roosevelt University),Indoor,historic building,Loop,6,events@roosevelt.edu,roosevelt.edu,rooseveltulibrary,"A highly intimate, wildly ornate Sullivan/Wright designed recital hall completely covered in intricate gold stenciling and wood.",150
University Club of Chicago (Cathedral Hall),Indoor,private club,Loop,3,,,ucco1887,"Soaring, towering gothic stained glass windows mimicking a medieval cathedral housed entirely within a private club.",200
The Fortnightly of Chicago (Lathrop House),Indoor,private club,Gold Coast,4,info@fortnightlychicago.org,,,"A perfectly manicured, deeply silent Georgian Revival mansion bursting with antique feminine elegance and floral wallpapers.",80
Firehouse Chicago,Indoor,adaptive reuse,Edgewater,9,events@firehousechicago.com,firehousechicago.com,firehousechicago,"A beautifully restored vintage firehouse featuring exposed white brick, antique tin ceilings, and massive arched bay doors.",100
St. Mary of the Angels (Main Sanctuary),Indoor,church,Bucktown,6,,,stmaryoftheangels,"Topped by a gigantic Renaissance-style dome that baths the intensely wide, sweeping nave in holy sunlight.",Varies
The Geraghty,Indoor,warehouse,Pilsen,9,events@thegeraghty.com,thegeraghty.com,thegeraghty,"A massive, hyper-modern, completely open warehouse explicitly designed to be a blank canvas for aggressive architectural lighting.",500
Wrigley Building (Breezeway & North Lobby),Indoor,architectural landmark,Near North Side,6,,,thewrigleybuilding,"Pristine, violently bright white terra cotta arcades leading into a deeply rich, highly polished brass and wood lobby.",Varies
Chicago History Museum (Diorama Hall),Indoor,museum,Lincoln Park,6,events@chicagohistory.org,,chicagohistory,"A dark, highly retro, mood-lit corridor lined with deeply detailed, unsettling 1930s miniature historical dioramas.",Varies
The Money Museum (Historic Vault),Indoor,museum,Loop,5,,,,Deeply subterranean Federal Reserve exhibit featuring a monolithic solid steel bank vault door protecting billions.,30
Ping Tom Memorial Park (Fieldhouse),Indoor,cultural center,Chinatown,8,permit@chicagoparkdistrict.com,,,Striking contemporary adaptation of traditional Chinese architecture surrounding a completely sleek glass indoor pool.,100
Chicago Cultural Center (Washington Street Lobby & Mosaic Stairs),Indoor,historic building,Loop,6,,,chicagoculturalcenter,"Sweeping, terrifyingly grand Carrara marble staircases completely encrusted in glittering neo-Byzantine mosaics.",Varies
